Datum tenaamstelling,Brandstof omschrijving,Kenteken
2003-04-02,Diesel,777
2003-04-02,Benzine,5258
2003-04-03,Benzine,5260
2003-04-03,Diesel,778
2003-04-04,Benzine,5266
2003-04-05,Diesel,779
2003-04-05,Benzine,5269
2003-04-07,Benzine,5273
2003-04-07,Diesel,780
2003-04-08,Diesel,781
2003-04-08,Benzine,5278
2003-04-09,Diesel,782
2003-04-09,Benzine,5282
2003-04-10,Diesel,783
2003-04-10,Benzine,5284
2003-04-11,Diesel,784
2003-04-11,Benzine,5291
2003-04-12,Benzine,5292
2003-04-14,Benzine,5295
2003-04-14,Diesel,785
2003-04-15,Benzine,5301
2003-04-16,Diesel,786
2003-04-16,Benzine,5302
2003-04-17,Benzine,5305
2003-04-18,Diesel,787
2003-04-18,Benzine,5312
2003-04-19,Diesel,788
2003-04-19,Benzine,5315
2003-04-22,Benzine,5321
2003-04-23,Benzine,5326
2003-04-24,Diesel,789
2003-04-24,Benzine,5329
2003-04-25,Benzine,5340
2003-04-25,Diesel,793
2003-04-26,Benzine,5343
2003-04-28,Diesel,794
2003-04-28,Benzine,5349
2003-04-29,Benzine,5355
2003-04-29,Diesel,795
2003-05-01,Diesel,796
2003-05-01,Benzine,5357
2003-05-02,Diesel,797
2003-05-02,Benzine,5364
2003-05-03,Benzine,5366
2003-05-06,Diesel,798
2003-05-06,Benzine,5370
2003-05-07,Diesel,801
2003-05-07,Benzine,5372
2003-05-08,Diesel,802
2003-05-08,Benzine,5374
2003-05-09,Benzine,5388
2003-05-09,Diesel,804
2003-05-10,Benzine,5390
2003-05-12,Benzine,5393
2003-05-12,Diesel,806
2003-05-13,Benzine,5396
2003-05-14,Diesel,807
2003-05-14,Benzine,5402
2003-05-15,Benzine,5408
2003-05-16,Diesel,809
2003-05-16,Benzine,5417
2003-05-17,Diesel,810
2003-05-17,Benzine,5419
2003-05-19,Benzine,5420
2003-05-20,Diesel,811
2003-05-20,Benzine,5425
2003-05-21,Benzine,5429
2003-05-22,Benzine,5435
2003-05-23,Benzine,5447
2003-05-24,Benzine,5448
2003-05-27,Diesel,812
2003-05-27,Benzine,5449
2003-05-28,Benzine,5453
2003-05-28,Diesel,814
2003-05-30,Diesel,816
2003-05-30,Benzine,5463
2003-05-31,Benzine,5464
2003-06-02,Benzine,5465
2003-06-03,Benzine,5467
2003-06-04,Benzine,5471
2003-06-05,Benzine,5478
2003-06-06,Diesel,817
2003-06-06,Benzine,5482
2003-06-07,Benzine,5483
2003-06-10,Diesel,818
2003-06-10,Benzine,5487
2003-06-11,Benzine,5492
2003-06-12,Benzine,5497
2003-06-13,Benzine,5501
2003-06-14,Benzine,5504
2003-06-14,Diesel,819
2003-06-16,Diesel,821
2003-06-16,Benzine,5506
2003-06-17,Benzine,5511
2003-06-17,Diesel,822
2003-06-18,Benzine,5512
2003-06-19,Benzine,5519
2003-06-20,Diesel,823
2003-06-20,Benzine,5531
2003-06-21,Diesel,824
2003-06-21,Benzine,5532
