Datum tenaamstelling,Kenteken,Brandstof omschrijving,Voertuigsoort,Merk,Handelsbenaming
2018-09-11,787,787,787,787,787
2018-09-12,817,817,817,817,817
2018-09-13,920,920,920,920,919
2018-09-14,1317,1317,1317,1317,1317
2018-09-15,540,540,540,540,540
2018-09-16,23,23,23,23,23
2018-09-17,728,728,728,728,727
2018-09-18,788,788,788,788,788
2018-09-19,781,781,781,781,781
2018-09-20,988,988,988,988,987
2018-09-21,1336,1336,1336,1336,1336
2018-09-22,577,577,577,577,577
2018-09-23,28,28,28,28,28
2018-09-24,770,770,770,770,770
2018-09-25,880,880,880,880,880
2018-09-26,1036,1036,1036,1036,1035
2018-09-27,1126,1126,1126,1126,1126
2018-09-28,1817,1817,1817,1817,1817
2018-09-29,646,646,646,646,646
2018-09-30,24,24,24,24,24
2018-10-01,853,853,853,853,852
2018-10-02,740,740,740,740,740
2018-10-03,889,889,889,889,887
2018-10-04,969,969,969,969,969
2018-10-05,1517,1517,1517,1517,1517
2018-10-06,606,606,606,606,606
2018-10-07,28,28,28,28,28
2018-10-08,843,843,843,843,843
2018-10-09,787,787,787,787,786
2018-10-10,1018,1018,1018,1018,1018
2018-10-11,1059,1059,1059,1059,1059
2018-10-12,1381,1381,1381,1381,1381
2018-10-13,588,588,588,588,588
2018-10-14,38,38,38,38,38
2018-10-15,803,803,803,803,801
2018-10-16,844,844,844,844,844
2018-10-17,919,919,919,919,919
2018-10-18,1041,1041,1041,1041,1040
2018-10-19,1300,1300,1300,1300,1300
2018-10-20,590,590,590,590,589
2018-10-21,35,35,35,35,35
2018-10-22,815,815,815,815,815
2018-10-23,752,752,752,752,752
2018-10-24,1210,1210,1210,1210,1209
2018-10-25,1083,1083,1083,1083,1083
2018-10-26,1375,1375,1375,1375,1374
2018-10-27,601,601,601,601,601
2018-10-28,29,29,29,29,29
2018-10-29,788,788,788,788,788
2018-10-30,1077,1077,1077,1077,1077
2018-10-31,1434,1434,1434,1434,1434
2018-11-01,1050,1050,1050,1050,1050
2018-11-02,1419,1419,1419,1419,1419
2018-11-03,640,640,640,640,640
2018-11-04,38,38,38,38,38
2018-11-05,785,785,785,785,785
2018-11-06,775,775,775,775,775
2018-11-07,853,853,853,853,853
2018-11-08,1002,1002,1002,1002,1002
2018-11-09,1387,1387,1387,1387,1387
2018-11-10,632,632,632,632,631
2018-11-11,27,27,27,27,27
2018-11-12,792,792,792,792,791
2018-11-13,847,847,847,847,847
2018-11-14,1028,1028,1028,1028,1028
2018-11-15,1199,1199,1199,1199,1199
2018-11-16,1480,1480,1480,1480,1480
2018-11-17,601,601,601,601,601
2018-11-18,32,32,32,32,32
2018-11-19,775,775,775,775,775
2018-11-20,804,804,804,804,804
2018-11-21,874,874,874,874,874
2018-11-22,875,875,875,875,874
2018-11-23,1321,1321,1321,1321,1321
2018-11-24,628,628,628,628,628
2018-11-25,23,23,23,23,23
2018-11-26,794,794,794,794,794
2018-11-27,851,851,851,851,850
2018-11-28,994,994,994,994,994
2018-11-29,1141,1141,1141,1141,1141
2018-11-30,2048,2048,2048,2048,2048
2018-12-01,697,697,697,697,697
2018-12-02,26,26,26,26,26
2018-12-03,687,687,687,687,686
2018-12-04,708,708,708,708,708
2018-12-05,729,729,729,729,728
2018-12-06,874,874,874,874,874
2018-12-07,1235,1235,1235,1235,1235
2018-12-08,586,586,586,586,586
2018-12-09,30,30,30,30,30
2018-12-10,682,682,682,682,682
2018-12-11,741,741,741,741,741
2018-12-12,776,776,776,776,776
2018-12-13,817,817,817,817,817
2018-12-14,1173,1173,1173,1173,1173
2018-12-15,610,610,610,610,610
2018-12-16,31,31,31,31,31
2018-12-17,700,700,700,700,700
2018-12-18,716,716,716,716,716
2018-12-19,820,820,820,820,820
2018-12-20,948,948,948,948,948
2018-12-21,1374,1374,1374,1374,1372
2018-12-22,623,623,623,623,623
2018-12-23,22,22,22,22,22
2018-12-24,797,797,797,797,797
2018-12-25,4,4,4,4,4
2018-12-26,23,23,23,23,23
2018-12-27,931,931,931,931,929
2018-12-28,1289,1289,1289,1289,1289
2018-12-29,573,573,573,573,573
2018-12-30,39,39,39,39,39
2018-12-31,924,924,924,924,924
2019-01-01,25,25,25,25,25
2019-01-02,1590,1590,1590,1590,1590
2019-01-03,1415,1415,1415,1415,1415
2019-01-04,1839,1839,1839,1839,1838
2019-01-05,706,706,706,706,706
2019-01-06,48,48,48,48,48
2019-01-07,1162,1162,1162,1162,1159
2019-01-08,1087,1087,1087,1087,1087
2019-01-09,1187,1187,1187,1187,1187
2019-01-10,1277,1277,1277,1277,1277
2019-01-11,1776,1776,1776,1776,1776
2019-01-12,883,883,883,883,883
2019-01-13,32,32,32,32,32
2019-01-14,968,968,968,968,968
2019-01-15,1054,1054,1054,1054,1054
2019-01-16,1144,1144,1144,1144,1143
2019-01-17,1260,1260,1260,1260,1260
2019-01-18,1576,1576,1576,1576,1576
2019-01-19,782,782,782,782,782
2019-01-20,32,32,32,32,32
2019-01-21,867,867,867,867,867
2019-01-22,840,840,840,840,840
2019-01-23,1016,1016,1016,1016,1016
2019-01-24,1131,1131,1131,1131,1131
2019-01-25,1591,1591,1591,1591,1590
2019-01-26,802,802,802,802,802
2019-01-27,35,35,35,35,35
2019-01-28,916,916,916,916,916
2019-01-29,986,986,986,986,986
2019-01-30,1060,1060,1060,1060,1060
2019-01-31,1634,1634,1634,1634,1634
2019-02-01,1514,1514,1514,1514,1513
2019-02-02,770,770,770,770,770
2019-02-03,30,30,30,30,30
2019-02-04,802,802,802,802,802
2019-02-05,790,790,790,790,790
2019-02-06,1067,1067,1067,1067,1067
2019-02-07,1141,1141,1141,1141,1140
2019-02-08,1449,1449,1449,1449,1448
2019-02-09,739,739,739,739,739
2019-02-10,54,54,54,54,54
2019-02-11,860,860,860,860,860
2019-02-12,902,902,902,902,902
2019-02-13,1050,1050,1050,1050,1048
2019-02-14,1189,1189,1189,1189,1184
2019-02-15,1671,1671,1671,1671,1671
2019-02-16,662,662,662,662,662
2019-02-17,35,35,35,35,35
2019-02-18,929,929,929,929,929
2019-02-19,949,949,949,949,949
2019-02-20,959,959,959,959,958
2019-02-21,1143,1143,1143,1143,1143
2019-02-22,1510,1510,1510,1510,1510
2019-02-23,724,724,724,724,723
2019-02-24,48,48,48,48,48
2019-02-25,871,871,871,871,871
2019-02-26,965,965,965,965,965
2019-02-27,1218,1218,1218,1218,1218
2019-02-28,1742,1742,1742,1742,1742
2019-03-01,1482,1482,1482,1482,1481
2019-03-02,673,673,673,673,672
2019-03-03,39,39,39,39,39
2019-03-04,677,677,677,677,675
2019-03-05,829,829,829,829,829
2019-03-06,976,976,976,976,976
2019-03-07,1077,1077,1077,1077,1077
2019-03-08,1431,1431,1431,1431,1430
2019-03-09,697,697,697,697,697
2019-03-10,33,33,33,33,33
2019-03-11,850,850,850,850,849
2019-03-12,909,909,909,909,909
2019-03-13,1000,1000,1000,1000,1000
2019-03-14,1075,1075,1075,1075,1075
2019-03-15,1567,1567,1567,1567,1567
2019-03-16,746,746,746,746,746
2019-03-17,38,38,38,38,38
